region,sales_usd,brand
north rhine-westphalla,544507,GEIL
north rhine-westphalla,770678,MUSHKIN
north rhine-westphalla,957858,ADATA
north rhine-westphalla,3856593,CRUCIAL
north rhine-westphalla,4608270,KINGSTON
north rhine-westphalla,4803385,CORSAIR
north rhine-westphalla,7301012,G.SKILL
mecklenburg-vorpommern,557,TOSHIBA
mecklenburg-vorpommern,932,SILICON
mecklenburg-vorpommern,2272,AENEON
mecklenburg-vorpommern,2504,MDT
mecklenburg-vorpommern,4331,KFA&SUP2
mecklenburg-vorpommern,11951,PNY
mecklenburg-vorpommern,13107,INTENSO
mecklenburg-vorpommern,14676,V7
mecklenburg-vorpommern,18286,KINGMAX
mecklenburg-vorpommern,21545,SK
mecklenburg-vorpommern,22493,TRANSCEND
mecklenburg-vorpommern,22589,EXTREMEMORY
mecklenburg-vorpommern,25380,ELIXIR
mecklenburg-vorpommern,32740,INTEGRAL
mecklenburg-vorpommern,43580,MICRON
mecklenburg-vorpommern,76261,OCZ
mecklenburg-vorpommern,77493,MUSTANG
mecklenburg-vorpommern,79339,COMPUSTOCX
mecklenburg-vorpommern,82369,HP
mecklenburg-vorpommern,84050,APACER
mecklenburg-vorpommern,91297,AVEXIR
mecklenburg-vorpommern,93909,KLEVV
mecklenburg-vorpommern,136639,PATRIOT
mecklenburg-vorpommern,150845,GOODRAM
mecklenburg-vorpommern,151038,SAMSUNG
mecklenburg-vorpommern,165205,TEAM GROUP
mecklenburg-vorpommern,539022,GEIL
mecklenburg-vorpommern,763505,MUSHKIN
mecklenburg-vorpommern,952073,ADATA
mecklenburg-vorpommern,3828895,CRUCIAL
mecklenburg-vorpommern,4665309,KINGSTON
mecklenburg-vorpommern,4774482,CORSAIR
mecklenburg-vorpommern,7252814,G.SKILL
lower saxony,164,AMD
lower saxony,184,TOSHIBA
lower saxony,516,SILICON
lower saxony,1890,KFA&SUP2
lower saxony,2105,AENEON
lower saxony,3049,MDT
lower saxony,10139,PNY
lower saxony,13834,INTENSO
lower saxony,13922,V7
lower saxony,19209,TRANSCEND
lower saxony,19508,KINGMAX
lower saxony,21359,SK
lower saxony,23124,EXTREMEMORY
lower saxony,25007,ELIXIR
lower saxony,30434,MICRON
lower saxony,36014,INTEGRAL
lower saxony,73022,HP
lower saxony,78027,MUSTANG
lower saxony,78954,OCZ
lower saxony,79286,COMPUSTOCX
lower saxony,91546,APACER
lower saxony,100486,AVEXIR
lower saxony,108543,KLEVV
lower saxony,145821,GOODRAM
lower saxony,148898,PATRIOT
lower saxony,154304,TEAM GROUP
lower saxony,167297,SAMSUNG
lower saxony,530179,GEIL
lower saxony,759202,MUSHKIN
lower saxony,937101,ADATA
lower saxony,3762087,CRUCIAL
lower saxony,4538416,KINGSTON
lower saxony,4719695,CORSAIR
lower saxony,7378097,G.SKILL
hessen,235,TOSHIBA
hessen,757,SILICON
hessen,2102,AENEON
hessen,2151,KFA&SUP2
hessen,2787,MDT
hessen,9081,PNY
hessen,15046,INTENSO
hessen,16835,V7
hessen,18630,EXTREMEMORY
hessen,18978,KINGMAX
hessen,20692,TRANSCEND
hessen,20709,SK
hessen,23545,ELIXIR
hessen,25538,COMPUSTOCX
hessen,35751,INTEGRAL
hessen,63092,MICRON
hessen,73409,MUSTANG
hessen,79111,HP
hessen,80081,OCZ
hessen,91391,APACER
hessen,91647,AVEXIR
hessen,107717,KLEVV
hessen,139992,GOODRAM
hessen,142425,PATRIOT
hessen,154739,SAMSUNG
hessen,168294,TEAM GROUP
hessen,557871,GEIL
hessen,752688,MUSHKIN
hessen,981750,ADATA
hessen,3954167,CRUCIAL
hessen,4580902,KINGSTON
hessen,4686521,CORSAIR
hessen,7446970,G.SKILL
hamburg,128,AMD
hamburg,571,SILICON
hamburg,1895,KFA&SUP2
hamburg,2052,AENEON
hamburg,2551,MDT
hamburg,11702,PNY
hamburg,13443,INTENSO
hamburg,16513,V7
hamburg,19280,KINGMAX
hamburg,19380,SK
hamburg,21795,TRANSCEND
hamburg,24306,EXTREMEMORY
hamburg,24815,ELIXIR
hamburg,26129,COMPUSTOCX
hamburg,34104,INTEGRAL
hamburg,53208,MICRON
hamburg,75991,MUSTANG
hamburg,82945,HP
hamburg,86168,OCZ
hamburg,86743,APACER
hamburg,87395,AVEXIR
hamburg,101325,KLEVV
hamburg,132962,PATRIOT
hamburg,138921,GOODRAM
hamburg,155022,SAMSUNG
hamburg,159515,TEAM GROUP
hamburg,532582,GEIL
hamburg,768773,MUSHKIN
hamburg,947374,ADATA
hamburg,3883181,CRUCIAL
hamburg,4646105,KINGSTON
hamburg,4755554,CORSAIR
hamburg,7362256,G.SKILL
bremen,168,AMD
bremen,222,TOSHIBA
bremen,896,KFA&SUP2
bremen,906,SILICON
bremen,1825,AENEON
bremen,2641,MDT
bremen,9960,PNY
bremen,14222,INTENSO
bremen,17519,V7
bremen,18647,KINGMAX
bremen,20203,TRANSCEND
bremen,21423,SK
bremen,21996,EXTREMEMORY
bremen,23509,ELIXIR
bremen,32415,INTEGRAL
bremen,51098,MICRON
bremen,78451,OCZ
bremen,79162,HP
bremen,79794,MUSTANG
bremen,92722,APACER
bremen,93825,AVEXIR
bremen,103224,KLEVV
bremen,132332,PATRIOT
bremen,133792,COMPUSTOCX
bremen,142799,GOODRAM
bremen,144981,TEAM GROUP
bremen,167099,SAMSUNG
bremen,556626,GEIL
bremen,766737,MUSHKIN
bremen,946538,ADATA
bremen,3814238,CRUCIAL
bremen,4594574,KINGSTON
bremen,4751908,CORSAIR
bremen,7269226,G.SKILL
brandenburg,318,AMD
brandenburg,443,SILICON
brandenburg,454,TOSHIBA
brandenburg,1528,KFA&SUP2
brandenburg,2145,AENEON
brandenburg,2833,MDT
brandenburg,10291,PNY
brandenburg,14214,INTENSO
brandenburg,17253,V7
brandenburg,18498,TRANSCEND
brandenburg,18771,KINGMAX
brandenburg,19110,SK
brandenburg,23451,ELIXIR
brandenburg,24095,EXTREMEMORY
brandenburg,26660,COMPUSTOCX
brandenburg,29972,MICRON
brandenburg,33463,INTEGRAL
brandenburg,71266,MUSTANG
brandenburg,82193,OCZ
brandenburg,87608,HP
brandenburg,95106,APACER
brandenburg,96098,AVEXIR
brandenburg,107587,KLEVV
brandenburg,142949,GOODRAM
brandenburg,148514,PATRIOT
brandenburg,149271,SAMSUNG
brandenburg,161378,TEAM GROUP
brandenburg,544951,GEIL
brandenburg,768351,MUSHKIN
brandenburg,924587,ADATA
brandenburg,3815245,CRUCIAL
brandenburg,4672867,KINGSTON
brandenburg,4736128,CORSAIR
brandenburg,7338412,G.SKILL
berlin,363,SILICON
berlin,2032,AENEON
berlin,2444,MDT
berlin,2511,KFA&SUP2
berlin,11180,PNY
berlin,13732,INTENSO
berlin,15366,V7
berlin,18069,KINGMAX
berlin,18218,TRANSCEND
berlin,20107,SK
berlin,21256,EXTREMEMORY
berlin,23444,ELIXIR
berlin,27135,COMPUSTOCX
berlin,33925,INTEGRAL
berlin,73147,MUSTANG
berlin,75710,MICRON
berlin,78673,OCZ
berlin,88054,APACER
berlin,89013,HP
berlin,89102,AVEXIR
berlin,107973,KLEVV
berlin,132076,PATRIOT
berlin,147358,GOODRAM
berlin,152514,TEAM GROUP
berlin,164542,SAMSUNG
berlin,559274,GEIL
berlin,772960,MUSHKIN
berlin,972676,ADATA
berlin,3799009,CRUCIAL
berlin,4641726,KINGSTON
berlin,4749323,CORSAIR
berlin,7395806,G.SKILL
bavaria,428,TOSHIBA
bavaria,691,SILICON
bavaria,2129,AENEON
bavaria,2139,KFA&SUP2
bavaria,2611,MDT
bavaria,12107,PNY
bavaria,14204,INTENSO
bavaria,16166,V7
bavaria,19030,KINGMAX
bavaria,19531,TRANSCEND
bavaria,20028,SK
bavaria,21961,EXTREMEMORY
bavaria,24012,ELIXIR
bavaria,25754,COMPUSTOCX
bavaria,32253,INTEGRAL
bavaria,55647,MICRON
bavaria,70980,MUSTANG
bavaria,80176,HP
bavaria,81039,OCZ
bavaria,90008,APACER
bavaria,91472,AVEXIR
bavaria,98689,KLEVV
bavaria,135019,PATRIOT
bavaria,137662,GOODRAM
bavaria,143763,SAMSUNG
bavaria,171256,TEAM GROUP
bavaria,564805,GEIL
bavaria,752431,MUSHKIN
bavaria,939793,ADATA
bavaria,3738909,CRUCIAL
bavaria,4667119,KINGSTON
bavaria,4697665,CORSAIR
bavaria,7376421,G.SKILL
baden-wuttemberg,258,SUPER
baden-wuttemberg,618,V7
baden-wuttemberg,634,SILICON
baden-wuttemberg,1187,TRANSCEND
baden-wuttemberg,2728,EDGE
baden-wuttemberg,2734,TOSHIBA
baden-wuttemberg,2807,IBM
baden-wuttemberg,6819,PNY
baden-wuttemberg,7731,HP
baden-wuttemberg,7925,SAMSUNG
baden-wuttemberg,8502,AMD
baden-wuttemberg,13216,GEIL
baden-wuttemberg,18742,AVEXIR
baden-wuttemberg,20494,VISIONTEK
baden-wuttemberg,33953,MUSHKIN
baden-wuttemberg,46738,TEAM GROUP
baden-wuttemberg,82731,ADATA
baden-wuttemberg,118380,PATRIOT
baden-wuttemberg,637387,CRUCIAL
baden-wuttemberg,724291,G.SKILL
baden-wuttemberg,1374475,CORSAIR
baden-wuttemberg,1871396,KINGSTON
